Store,Product,2024-04-15,2024-04-22,2024-04-29,2024-05-06,2024-05-13,2024-05-20,2024-05-27,2024-06-03,2024-06-10,2024-06-17
0,126,3.361552700639172,5.242027924234237,3.526829494609989,4.515983728533597,2.2291639804770296,0.4676616234197693,3.1667047071664065,3.93907362550539,2.8353354408168085,2.948439696807092
0,182,1.045610119047619,1.018824404761905,1.0209563492063494,1.0072261904761906,1.067419642857143,0.4732083333333332,1.538569534632035,1.0758263888888888,1.0649930555555551,1.0271845238095236
1,124,4.0559392674826364,7.213297346780576,6.104748560531404,4.138659875143963,2.401787224169317,4.765980706141535,4.78171456604926,4.515605365263944,4.780908331495324,3.311848857733949
2,124,6.909645707715192,11.76525578749029,10.278739467577656,10.19531824160232,7.699109769262892,9.17118277506823,9.628918395781993,9.38680918583923,12.730728915033362,5.826722662393367
2,126,0.9871172004721556,3.069194050304892,2.599674404120516,3.360128191192993,2.7827668798496723,0.4241059660244849,2.194172037977252,3.088167521625929,3.70017500847889,1.87830225838924
3,126,1.3368865814117588,0.6469987106252216,0.6389540726595613,1.5389540726595612,0.0630234364555083,11.47505075476071,0.0370411184763561,1.6565477034892937,1.2386540703712898,5.993930283457116
4,124,7.972238975001595,11.288069497469271,10.475671322606734,15.080157364196364,9.364693099134012,6.664177699206859,10.438015587238269,11.864739782308945,11.014634953354298,9.30125334803618
4,126,-0.0481956196836419,1.7695980563883371,-0.0285587304179154,2.646226919585017,2.6653861866940467,2.3454971263507547,1.1434873265387149,0.5463858977441651,2.948975564926273,2.0480381418649523
5,126,0.3685190561114854,3.711265451575873,2.000921483776599,4.683710115673013,3.482848999982856,1.376478490657932,0.2439361650544735,4.494728905213457,4.348199144634543,2.253307682684816
6,124,5.959549518857149,1.6085521719614275,3.4763372673206283,2.5764566204225323,3.024319026648587,3.4633707674672416,5.282840721289574,3.1994666885393537,1.690680172121922,3.00512548755108
7,126,5.201227134472728,1.9344470703379868,3.4815539754657427,3.2982535264821387,1.6402077853671966,2.5042513287961183,2.199911863339081,2.479497340466066,3.4168059488264264,1.5806590940379848
8,126,2.5337202343466907,0.0943982455266536,6.39031732500129,2.1776530540748773,0.0962181357993895,3.71079399445409,3.058045503184032,5.252728001560749,0.4243716284807016,6.138984052375042
9,49,0.8799880952380952,0.8763333333333334,1.0038333333333334,1.0038333333333334,1.0038333333333334,1.0038333333333334,1.0038333333333334,0.6626578629703627,1.0470535714285714,1.0470535714285714
9,124,10.36856982953217,12.18798984830919,11.871177346281629,14.217585691306155,7.607031313388892,7.410830351060561,12.016128232807604,10.750618418131053,11.993974394091294,12.631919103314836
9,126,1.6268247043670796,4.365365504584967,4.348034052132111,3.0962602602845126,2.193603948274677,1.8861520309516675,1.2861520309516672,1.8496672826815748,3.978228027987341,3.09049464148498
10,126,1.8226206645431888,1.533643652362233,0.9281242563407084,1.821264061911417,1.5212640619114175,0.6196915984200436,0.6383625395585677,1.2165258326161972,2.086285303293429,0.5844895723926643
11,126,1.1784759460000973,2.987739163132457,0.5666165282397626,2.681898854120676,1.192306757965533,1.7679417760341296,2.0851118528776267,2.0979048305445147,2.9959705947663995,2.686665404895711
12,124,2.4605935506339573,3.244900357637277,2.894704431173486,4.528130922978295,3.098008658151066,3.27553773388564,1.6844820824517517,2.511497923156797,3.862495891587896,1.7233171574221926
13,103,-0.0371514168937217,1.8344351839402573,0.760993985614607,1.3999187259725596,1.3999187259725596,1.4163593802078382,3.804979531822283,7.610163209972365,1.4632016203678049,1.0564784888276566
14,124,7.745754768858353,6.870460775939951,6.3472634148196425,8.602361912819902,9.855304042672264,9.896123019397052,4.746771033597086,5.240483185745076,8.30351729928067,9.477711371912015
14,126,1.2355952037080042,1.2845082260921772,2.72935857412944,3.3659680548448976,1.933212110162248,4.299235355293762,3.4323396129407624,2.546669592402426,3.436455420353873,6.145508760407284
15,126,0.6016358942598449,0.9533096299989282,0.6536708305340381,0.0363010523044424,1.3388894956666662,1.2810295830543188,0.6897455248454888,1.8955963903226,1.8515310305737736,1.129121911069708
16,126,0.521895461187501,1.9541867134450512,3.2125245363126425,1.440605829815573,3.90879791806881,0.2265553182489566,5.048139848239477,0.816272604909628,1.038249852461807,0.4243800252360061
17,126,0.1651400201875748,1.3321353353022805,0.6846347694194683,6.41782330573308,1.7812087194191546,1.6760694709751305,2.082154528007324,3.647356200238548,2.488432485353115,1.333250454422792
18,124,11.606059605160022,9.365090769316602,13.674137914151098,15.238981166108433,9.199171811440282,14.419239218707103,14.143668288962976,12.026546225349072,10.8362807289201,7.463529753587695
18,126,1.9967294166005505,2.904090057041686,4.4073223943932245,4.292684321202336,3.4664947138882947,5.227514814319304,2.590752802164184,1.9753426022853893,2.8842876183097443,2.0102255009598773
19,17,9.62833646838688,11.06009322842976,17.405862764766308,17.860214799488688,15.330923945175796,17.742761864168465,16.669090277965502,17.262916842233377,17.033317230479327,16.448587819543352
19,103,3.805525105875782,0.8396009489887634,2.479252173867689,18.617917545011263,0.2680057629948721,0.553713329264265,8.558128257351369,2.465161142622388,0.73120033866631,14.558128257351369
20,126,2.833602193679093,4.718042637270657,1.026920063757519,3.200320423213149,1.6273178990636157,1.6314932446627315,2.479917112864101,4.925379677365298,3.2622207476109586,6.8338545494007
21,124,9.908444336320402,8.397255142536295,10.9554963146588,8.894459226137416,7.042086253719599,5.198348489889902,9.76693062190531,8.380579707318137,12.758980027548132,7.2915317778313
21,126,3.220217265996358,5.964897971122015,1.861246782616012,2.2288340642696776,2.630498251843604,2.7614176678514726,0.792819056338828,1.7829759309789666,4.141374040706826,4.221145979467073
22,126,0.0226650604949295,0.5079263651376158,0.4485169812174437,0.3213319406446031,4.351424182829828,1.2062920253095046,1.7194051530333232,6.125394215908969,1.6307601189691978,2.664411910646196
23,124,6.580308353511179,9.603168998024278,12.075208944964812,10.514517646864292,4.897694534577561,5.376515489830567,8.068858746841162,6.937455201832551,11.059134312210022,5.372796238816516
24,126,0.6360048089590478,1.207366624997955,2.714370784462759,2.455471377301328,0.0580996575952073,0.6448602210173203,2.4448602210173203,4.264103409648854,0.6798598657597318,2.7374251998214665
25,124,6.967607565363186,3.8482997115160313,3.2271832927905884,2.7211692965356247,5.855708742633393,6.284623605859242,3.8096474494377537,5.34662861252226,3.83405182536924,5.8233684337143945
25,126,2.3903064158223986,1.6251680191461402,3.7531575710062017,1.4771391697053622,2.80210431743021,4.311488568496814,3.1441594269655337,2.600395177014016,0.0374692889450449,0.6645555303207585
26,126,0.4349115748829665,3.059564136336385,0.3763315326098818,6.73284968306254,1.1143633084524225,1.912920767540932,2.8397882903806795,2.640432902853867,1.6400708576610057,1.365809329110603
27,124,6.975527289852471,2.229224054108835,4.221586357588041,7.924087389830472,5.207920819719551,6.173368747806458,5.050394687538821,4.08683065660844,4.177570545481154,6.032701659047356
27,126,2.1253444194243216,2.418766432166471,3.017608592414223,3.325084970198786,4.879311779870449,3.406417306897516,5.16020770179931,1.618541898238257,5.453770616139971,6.058127907896211
28,17,16.706191955466124,19.711410727067506,16.79695485056549,13.870179086733971,17.592732345682272,15.336274871361889,19.59557686963864,18.58320884543344,21.250742466298576,14.67269740087006
28,103,1.54105076966288,1.8488844681319965,2.4819765857774003,1.51483660499538,3.0606024095526374,1.7684968230204496,2.7039799402740736,1.458061738735399,2.752042745580278,5.359107805366158
29,17,4.201357228063186,2.920051901698192,3.7679396604566304,4.147415612444001,2.1463732416795573,3.795841047055692,2.77194127681784,2.990481766932072,3.435441830662016,5.536241051706111
30,126,0.1152240853549045,2.8133146075702538,0.6915588509692386,3.4058777646979275,0.6452645527617502,0.6854672674024626,1.2637752408007017,0.0241501707375886,0.6546287211430915,2.197100690855724
31,126,0.5533442112308663,1.5042214137787469,2.0817087048385443,1.1762304637899896,0.6329955175107081,0.3027024467052059,0.5852075787445689,2.9664897638803045,-0.0166661658473726,1.5227731157892466
32,124,4.809088830972508,4.414265447162117,5.523671968900622,7.062154736337389,3.118016293986504,6.034060075216268,5.5358983098735095,5.246465169233612,4.442439769219399,6.3510921237442215
